
  |00000000000000000000000000AAAAAA
  |ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF
--+--------------------------------
01|gggggggggggggggggggggggggggggggg
02|gggggggggggggggggggggggggggggggg
03|gggggggggggggggggggggggggggggggg
04|gggggggggggggggggggggggggggggggg
05|gggggggggggggggggggggggggggggggg
06|gggggggggggggggggggggggggggggggg
07|gggggggggggggggggggggggggggggggg
08|gggggggggggggggggggggggggggggggg
09|gggggggggggggggggggggggggggggggg
10|gggggggggggggggggggggggggggggggg
11|gggggggggggggggggggggggggggggggg
12|gggggggggggggggggggggggggggggggg
13|gggggggggggggggggggggggggggggggg
14|gggggggggggggggggggggggggggggggg
15|gggggggggggggggggggggggggggggggg
16|gggggggggggggggggggggggggggggggg

